,Align,DE,Dir,GeneName
1,bowtie2,DESeq2,up,FBtr0070241
2,bowtie2,DESeq2,up,FBtr0070392
3,bowtie2,DESeq2,up,FBtr0070724
4,bowtie2,DESeq2,up,FBtr0071004
5,bowtie2,DESeq2,up,FBtr0071246
6,bowtie2,DESeq2,up,FBtr0071599
7,bowtie2,DESeq2,up,FBtr0071613
8,bowtie2,DESeq2,up,FBtr0071849
9,bowtie2,DESeq2,up,FBtr0072102
10,bowtie2,DESeq2,up,FBtr0072506
11,bowtie2,DESeq2,up,FBtr0072635
12,bowtie2,DESeq2,up,FBtr0072642
13,bowtie2,DESeq2,up,FBtr0072712
14,bowtie2,DESeq2,up,FBtr0072957
15,bowtie2,DESeq2,up,FBtr0072993
16,bowtie2,DESeq2,up,FBtr0072994
17,bowtie2,DESeq2,up,FBtr0073120
18,bowtie2,DESeq2,up,FBtr0073422
19,bowtie2,DESeq2,up,FBtr0073426
20,bowtie2,DESeq2,up,FBtr0073492
21,bowtie2,DESeq2,up,FBtr0073839
22,bowtie2,DESeq2,up,FBtr0073974
23,bowtie2,DESeq2,up,FBtr0074528
24,bowtie2,DESeq2,up,FBtr0075199
25,bowtie2,DESeq2,up,FBtr0075541
26,bowtie2,DESeq2,up,FBtr0075554
27,bowtie2,DESeq2,up,FBtr0075558
28,bowtie2,DESeq2,up,FBtr0075699
29,bowtie2,DESeq2,up,FBtr0075928
30,bowtie2,DESeq2,up,FBtr0076364
31,bowtie2,DESeq2,up,FBtr0076453
32,bowtie2,DESeq2,up,FBtr0076454
33,bowtie2,DESeq2,up,FBtr0076496
34,bowtie2,DESeq2,up,FBtr0076500
35,bowtie2,DESeq2,up,FBtr0076545
36,bowtie2,DESeq2,up,FBtr0076668
37,bowtie2,DESeq2,up,FBtr0076772
38,bowtie2,DESeq2,up,FBtr0076797
39,bowtie2,DESeq2,up,FBtr0076935
40,bowtie2,DESeq2,up,FBtr0077236
41,bowtie2,DESeq2,up,FBtr0077247
42,bowtie2,DESeq2,up,FBtr0077644
43,bowtie2,DESeq2,up,FBtr0078069
44,bowtie2,DESeq2,up,FBtr0078136
45,bowtie2,DESeq2,up,FBtr0078346
46,bowtie2,DESeq2,up,FBtr0078841
47,bowtie2,DESeq2,up,FBtr0079199
48,bowtie2,DESeq2,up,FBtr0080247
49,bowtie2,DESeq2,up,FBtr0080592
50,bowtie2,DESeq2,up,FBtr0080886
51,bowtie2,DESeq2,up,FBtr0080942
52,bowtie2,DESeq2,up,FBtr0081257
53,bowtie2,DESeq2,up,FBtr0081353
54,bowtie2,DESeq2,up,FBtr0081614
55,bowtie2,DESeq2,up,FBtr0081619
56,bowtie2,DESeq2,up,FBtr0081686
57,bowtie2,DESeq2,up,FBtr0082017
58,bowtie2,DESeq2,up,FBtr0082069
59,bowtie2,DESeq2,up,FBtr0082093
60,bowtie2,DESeq2,up,FBtr0082889
61,bowtie2,DESeq2,up,FBtr0083467
62,bowtie2,DESeq2,up,FBtr0084868
63,bowtie2,DESeq2,up,FBtr0085000
64,bowtie2,DESeq2,up,FBtr0085105
65,bowtie2,DESeq2,up,FBtr0085137
66,bowtie2,DESeq2,up,FBtr0085155
67,bowtie2,DESeq2,up,FBtr0085252
68,bowtie2,DESeq2,up,FBtr0085307
69,bowtie2,DESeq2,up,FBtr0085987
70,bowtie2,DESeq2,up,FBtr0086280
71,bowtie2,DESeq2,up,FBtr0086474
72,bowtie2,DESeq2,up,FBtr0086506
73,bowtie2,DESeq2,up,FBtr0086555
74,bowtie2,DESeq2,up,FBtr0086613
75,bowtie2,DESeq2,up,FBtr0087090
76,bowtie2,DESeq2,up,FBtr0087258
77,bowtie2,DESeq2,up,FBtr0087369
78,bowtie2,DESeq2,up,FBtr0087617
79,bowtie2,DESeq2,up,FBtr0087820
80,bowtie2,DESeq2,up,FBtr0088052
81,bowtie2,DESeq2,up,FBtr0088136
82,bowtie2,DESeq2,up,FBtr0088266
83,bowtie2,DESeq2,up,FBtr0088363
84,bowtie2,DESeq2,up,FBtr0088399
85,bowtie2,DESeq2,up,FBtr0088571
86,bowtie2,DESeq2,up,FBtr0088663
87,bowtie2,DESeq2,up,FBtr0088699
88,bowtie2,DESeq2,up,FBtr0089263
89,bowtie2,DESeq2,up,FBtr0089349
90,bowtie2,DESeq2,up,FBtr0089581
91,bowtie2,DESeq2,up,FBtr0089716
92,bowtie2,DESeq2,up,FBtr0091719
93,bowtie2,DESeq2,up,FBtr0100575
94,bowtie2,DESeq2,up,FBtr0100582
95,bowtie2,DESeq2,up,FBtr0110823
96,bowtie2,DESeq2,up,FBtr0110876
97,bowtie2,DESeq2,up,FBtr0112735
98,bowtie2,DESeq2,up,FBtr0112807
99,bowtie2,DESeq2,up,FBtr0112808
100,bowtie2,DESeq2,up,FBtr0112994
101,bowtie2,DESeq2,up,FBtr0113323
102,bowtie2,DESeq2,up,FBtr0113380
103,bowtie2,DESeq2,up,FBtr0113386
104,bowtie2,DESeq2,up,FBtr0114544
105,bowtie2,DESeq2,up,FBtr0114584
106,bowtie2,DESeq2,up,FBtr0273416
107,bowtie2,DESeq2,up,FBtr0289940
108,bowtie2,DESeq2,up,FBtr0290078
109,bowtie2,DESeq2,up,FBtr0290279
110,bowtie2,DESeq2,up,FBtr0299564
111,bowtie2,DESeq2,up,FBtr0299837
112,bowtie2,DESeq2,up,FBtr0299920
113,bowtie2,DESeq2,up,FBtr0300017
114,bowtie2,DESeq2,up,FBtr0300192
115,bowtie2,DESeq2,up,FBtr0300245
116,bowtie2,DESeq2,up,FBtr0300337
117,bowtie2,DESeq2,up,FBtr0300889
118,bowtie2,DESeq2,up,FBtr0301143
119,bowtie2,DESeq2,up,FBtr0301212
120,bowtie2,DESeq2,up,FBtr0301492
121,bowtie2,DESeq2,up,FBtr0301501
122,bowtie2,DESeq2,up,FBtr0301622
123,bowtie2,DESeq2,up,FBtr0301850
124,bowtie2,DESeq2,up,FBtr0302034
125,bowtie2,DESeq2,up,FBtr0302291
126,bowtie2,DESeq2,up,FBtr0302453
127,bowtie2,DESeq2,up,FBtr0302548
128,bowtie2,DESeq2,up,FBtr0302561
129,bowtie2,DESeq2,up,FBtr0302712
130,bowtie2,DESeq2,up,FBtr0303046
131,bowtie2,DESeq2,up,FBtr0304005
132,bowtie2,DESeq2,up,FBtr0304802
133,bowtie2,DESeq2,up,FBtr0304914
134,bowtie2,DESeq2,up,FBtr0304925
135,bowtie2,DESeq2,up,FBtr0305063
136,bowtie2,DESeq2,up,FBtr0305073
137,bowtie2,DESeq2,up,FBtr0306087
138,bowtie2,DESeq2,up,FBtr0306239
139,bowtie2,DESeq2,up,FBtr0307092
140,bowtie2,DESeq2,up,FBtr0308213
141,bowtie2,DESeq2,up,FBtr0308564
142,bowtie2,DESeq2,up,FBtr0308594
143,bowtie2,DESeq2,up,FBtr0308621
144,bowtie2,DESeq2,up,FBtr0308823
145,bowtie2,DESeq2,up,FBtr0310064
146,bowtie2,DESeq2,up,FBtr0310435
147,bowtie2,DESeq2,up,FBtr0310643
148,bowtie2,DESeq2,up,FBtr0310669
149,bowtie2,DESeq2,up,FBtr0310673
150,bowtie2,DESeq2,up,FBtr0329879
151,bowtie2,DESeq2,up,FBtr0330145
152,bowtie2,DESeq2,up,FBtr0330306
153,bowtie2,DESeq2,up,FBtr0330617
154,bowtie2,DESeq2,up,FBtr0330631
155,bowtie2,DESeq2,up,FBtr0331308
156,bowtie2,DESeq2,up,FBtr0332038
157,bowtie2,DESeq2,up,FBtr0332125
158,bowtie2,DESeq2,up,FBtr0332202
159,bowtie2,DESeq2,up,FBtr0332403
160,bowtie2,DESeq2,up,FBtr0332478
